Learning order,PL* rounds,PL* MQ resets,PL* MQ input symbols,PL* EQ resets,PL* EQ input symbols,PL* total resets,PL* total input symbols,Non-adaptive rounds,Non-adaptive MQ resets,Non-adaptive MQ input symbols,Non-adaptive EQ resets,Non-adaptive EQ input symbols,Non-adaptive total resets,Non-adaptive total input symbols
[11; 2; 8; 5; 9; 1; 7; 13; 12; 6; 3; 14; 15; 10; 4],18,78751,433865,3762108,24540162,3840859,24974027,30,73937,401613,4355463,28235499,4429400,28637112
[9; 15; 3; 13; 1; 6; 8; 11; 14; 4; 5; 7; 12; 2; 10],17,75755,414818,3685609,24103568,3761364,24518386,30,73937,401613,4355463,28235499,4429400,28637112
[13; 10; 14; 7; 3; 2; 12; 4; 15; 5; 8; 11; 1; 6; 9],18,77859,428116,3975422,25953106,4053281,26381222,30,73937,401613,4355463,28235499,4429400,28637112
[6; 13; 9; 4; 8; 10; 14; 3; 15; 1; 2; 5; 12; 7; 11],17,78231,430280,3732346,24409687,3810577,24839967,30,73937,401613,4355463,28235499,4429400,28637112
[12; 11; 3; 15; 1; 13; 4; 10; 8; 5; 7; 2; 9; 6; 14],19,78144,429949,3816457,24874423,3894601,25304372,30,73937,401613,4355463,28235499,4429400,28637112
[8; 11; 7; 10; 13; 1; 12; 5; 6; 14; 9; 2; 3; 15; 4],18,78479,430706,3749401,24486281,3827880,24916987,30,73937,401613,4355463,28235499,4429400,28637112
[14; 15; 12; 6; 10; 9; 4; 5; 11; 2; 8; 13; 7; 1; 3],18,80046,441879,3678461,24037143,3758507,24479022,30,73937,401613,4355463,28235499,4429400,28637112
[1; 4; 7; 15; 3; 10; 9; 5; 6; 11; 8; 14; 2; 13; 12],18,80602,444199,3657322,23854213,3737924,24298412,30,73937,401613,4355463,28235499,4429400,28637112
[8; 14; 6; 5; 12; 2; 1; 9; 10; 15; 11; 3; 13; 4; 7],19,80297,442243,3748439,24422540,3828736,24864783,30,73937,401613,4355463,28235499,4429400,28637112
[13; 5; 14; 3; 1; 7; 9; 12; 6; 11; 2; 4; 15; 8; 10],19,78236,429100,3809774,24803092,3888010,25232192,30,73937,401613,4355463,28235499,4429400,28637112
[4; 11; 2; 8; 12; 14; 15; 6; 9; 3; 13; 7; 5; 10; 1],18,77568,425576,3775129,24588009,3852697,25013585,30,73937,401613,4355463,28235499,4429400,28637112
[10; 2; 7; 5; 1; 13; 11; 4; 15; 3; 9; 8; 12; 6; 14],16,77674,428264,3742413,24432911,3820087,24861175,30,73937,401613,4355463,28235499,4429400,28637112
[8; 7; 1; 14; 13; 3; 6; 12; 10; 4; 2; 15; 9; 5; 11],18,79394,438027,3830365,24925309,3909759,25363336,30,73937,401613,4355463,28235499,4429400,28637112
[5; 3; 14; 6; 1; 15; 4; 9; 12; 8; 2; 13; 10; 7; 11],19,78802,432743,3866432,25147567,3945234,25580310,30,73937,401613,4355463,28235499,4429400,28637112
[12; 5; 11; 6; 9; 14; 4; 3; 1; 7; 15; 13; 10; 2; 8],20,79163,435032,3718650,24270350,3797813,24705382,30,73937,401613,4355463,28235499,4429400,28637112
[10; 4; 3; 6; 12; 13; 9; 7; 1; 2; 14; 11; 5; 15; 8],19,78944,435757,3670741,23935261,3749685,24371018,30,73937,401613,4355463,28235499,4429400,28637112
[6; 3; 5; 8; 9; 7; 12; 15; 4; 11; 13; 2; 1; 14; 10],19,78849,435021,3795156,24759870,3874005,25194891,30,73937,401613,4355463,28235499,4429400,28637112
[15; 4; 11; 10; 13; 9; 1; 2; 6; 14; 8; 12; 5; 3; 7],18,79108,434904,3752293,24471049,3831401,24905953,30,73937,401613,4355463,28235499,4429400,28637112
[14; 13; 5; 3; 6; 10; 11; 12; 15; 1; 8; 4; 2; 9; 7],19,78320,429856,3855173,25078969,3933493,25508825,30,73937,401613,4355463,28235499,4429400,28637112
[13; 5; 7; 3; 1; 12; 9; 2; 8; 15; 4; 11; 14; 6; 10],17,79159,435190,3704415,24144401,3783574,24579591,30,73937,401613,4355463,28235499,4429400,28637112
[1; 8; 14; 6; 12; 9; 7; 5; 13; 11; 4; 15; 10; 3; 2],20,80471,443303,3767426,24522408,3847897,24965711,30,73937,401613,4355463,28235499,4429400,28637112
[2; 6; 14; 15; 5; 1; 11; 10; 7; 8; 4; 13; 3; 12; 9],18,79356,437464,3738993,24422553,3818349,24860017,30,73937,401613,4355463,28235499,4429400,28637112
[1; 12; 2; 15; 7; 8; 5; 3; 6; 10; 9; 11; 14; 4; 13],18,78625,433595,3683800,24038989,3762425,24472584,30,73937,401613,4355463,28235499,4429400,28637112
[6; 14; 10; 1; 12; 8; 5; 7; 2; 4; 11; 9; 13; 15; 3],18,80476,445277,3784093,24676109,3864569,25121386,30,73937,401613,4355463,28235499,4429400,28637112
[6; 8; 5; 3; 14; 13; 4; 7; 2; 1; 12; 9; 11; 10; 15],19,78663,432009,3736066,24370832,3814729,24802841,30,73937,401613,4355463,28235499,4429400,28637112
[1; 12; 9; 15; 11; 6; 7; 13; 8; 10; 3; 5; 14; 4; 2],18,77528,424638,3653136,23817637,3730664,24242275,30,73937,401613,4355463,28235499,4429400,28637112
[15; 3; 13; 9; 14; 8; 2; 4; 10; 11; 7; 5; 1; 6; 12],19,79604,437799,3709778,24245464,3789382,24683263,30,73937,401613,4355463,28235499,4429400,28637112
[7; 12; 11; 5; 9; 6; 2; 15; 10; 8; 13; 3; 14; 1; 4],18,80371,444902,3778147,24627065,3858518,25071967,30,73937,401613,4355463,28235499,4429400,28637112
[7; 8; 3; 12; 15; 6; 5; 11; 4; 9; 10; 13; 14; 1; 2],18,80367,445838,3697637,24125334,3778004,24571172,30,73937,401613,4355463,28235499,4429400,28637112
[12; 9; 3; 13; 11; 10; 1; 7; 2; 8; 5; 15; 14; 4; 6],20,80665,444807,3652572,23854803,3733237,24299610,30,73937,401613,4355463,28235499,4429400,28637112
[1; 8; 2; 11; 7; 12; 15; 13; 3; 14; 6; 4; 9; 5; 10],18,78697,432021,3808642,24803319,3887339,25235340,30,73937,401613,4355463,28235499,4429400,28637112
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,76475,419002,3612260,23619121,3688735,24038123,30,73937,401613,4355463,28235499,4429400,28637112
[11; 8; 5; 1; 4; 6; 14; 7; 10; 15; 12; 13; 2; 3; 9],17,78432,430466,3775118,24603646,3853550,25034112,30,73937,401613,4355463,28235499,4429400,28637112
[12; 11; 4; 15; 10; 13; 5; 2; 6; 9; 14; 7; 8; 1; 3],18,79233,435444,3766769,24584597,3846002,25020041,30,73937,401613,4355463,28235499,4429400,28637112
[8; 9; 12; 1; 14; 6; 13; 7; 11; 15; 4; 3; 5; 10; 2],18,80202,441620,3749514,24431954,3829716,24873574,30,73937,401613,4355463,28235499,4429400,28637112
[8; 12; 10; 3; 15; 2; 4; 14; 1; 6; 13; 7; 11; 5; 9],19,77839,428027,3773069,24599237,3850908,25027264,30,73937,401613,4355463,28235499,4429400,28637112
[8; 3; 15; 5; 13; 12; 2; 6; 10; 4; 9; 1; 14; 11; 7],18,76679,420646,3733737,24351520,3810416,24772166,30,73937,401613,4355463,28235499,4429400,28637112
[4; 2; 14; 7; 8; 12; 15; 1; 13; 10; 5; 6; 9; 3; 11],18,78483,431644,3737568,24341705,3816051,24773349,30,73937,401613,4355463,28235499,4429400,28637112
[8; 15; 13; 14; 5; 3; 2; 1; 4; 9; 11; 10; 6; 7; 12],18,76370,418440,3769567,24565325,3845937,24983765,30,73937,401613,4355463,28235499,4429400,28637112
[13; 3; 8; 4; 2; 6; 7; 15; 14; 10; 12; 9; 1; 11; 5],19,79716,438653,3840865,24997735,3920581,25436388,30,73937,401613,4355463,28235499,4429400,28637112
[14; 11; 2; 4; 7; 3; 6; 15; 5; 13; 10; 1; 8; 12; 9],18,78140,429528,3816074,24839085,3894214,25268613,30,73937,401613,4355463,28235499,4429400,28637112
[12; 11; 14; 2; 5; 10; 7; 3; 13; 8; 4; 6; 1; 15; 9],18,79824,441268,3773292,24627566,3853116,25068834,30,73937,401613,4355463,28235499,4429400,28637112
[7; 4; 6; 9; 15; 8; 2; 10; 3; 12; 13; 14; 1; 5; 11],18,80446,444914,3677852,23992666,3758298,24437580,30,73937,401613,4355463,28235499,4429400,28637112
[5; 9; 6; 13; 10; 4; 7; 3; 8; 1; 14; 11; 2; 12; 15],17,77573,426002,3742473,24464911,3820046,24890913,30,73937,401613,4355463,28235499,4429400,28637112
