Learning order,PL* rounds,PL* MQ resets,PL* MQ input symbols,PL* EQ resets,PL* EQ input symbols,PL* total resets,PL* total input symbols,Non-adaptive rounds,Non-adaptive MQ resets,Non-adaptive MQ input symbols,Non-adaptive EQ resets,Non-adaptive EQ input symbols,Non-adaptive total resets,Non-adaptive total input symbols
[4; 2; 7; 12; 9; 16; 10; 5; 6; 11; 15; 8; 13; 1; 3; 14],16,787518,6172309,75572604,724593745,76360122,730766054,22,642412,4804082,82690520,786870011,83332932,791674093
[12; 4; 8; 2; 9; 11; 7; 6; 1; 13; 15; 5; 16; 14; 10; 3],16,714916,5359850,76366847,732179689,77081763,737539539,22,642412,4804082,82690520,786870011,83332932,791674093
[7; 4; 5; 11; 15; 10; 1; 16; 8; 3; 9; 2; 14; 13; 12; 6],18,805050,6031656,74933375,717756840,75738425,723788496,22,642412,4804082,82690520,786870011,83332932,791674093
[2; 3; 13; 8; 11; 5; 9; 15; 16; 4; 1; 12; 7; 14; 6; 10],16,694628,5349334,75666936,724993969,76361564,730343303,22,642412,4804082,82690520,786870011,83332932,791674093
[10; 5; 16; 7; 12; 3; 8; 9; 14; 4; 6; 11; 15; 13; 1; 2],18,818402,6104016,80766676,770875351,81585078,776979367,22,642412,4804082,82690520,786870011,83332932,791674093
[1; 15; 4; 5; 6; 10; 3; 7; 12; 16; 2; 11; 9; 8; 13; 14],16,741582,5829611,75524203,724822930,76265785,730652541,22,642412,4804082,82690520,786870011,83332932,791674093
[12; 14; 3; 7; 8; 15; 4; 16; 5; 10; 11; 6; 1; 2; 13; 9],16,806046,6170780,76305737,731055111,77111783,737225891,22,642412,4804082,82690520,786870011,83332932,791674093
[6; 1; 12; 16; 7; 15; 14; 11; 4; 13; 5; 10; 3; 9; 2; 8],18,707814,5280642,76958194,735887245,77666008,741167887,22,642412,4804082,82690520,786870011,83332932,791674093
[7; 3; 2; 1; 11; 10; 5; 6; 9; 8; 4; 15; 12; 13; 14; 16],18,765560,5754127,76460483,733363464,77226043,739117591,22,642412,4804082,82690520,786870011,83332932,791674093
[14; 11; 6; 2; 12; 8; 15; 16; 10; 1; 13; 4; 9; 3; 7; 5],16,712464,5653188,75502927,722337598,76215391,727990786,22,642412,4804082,82690520,786870011,83332932,791674093
[6; 7; 2; 10; 13; 11; 15; 8; 14; 4; 9; 5; 12; 1; 16; 3],18,713646,5319358,76311239,729267539,77024885,734586897,22,642412,4804082,82690520,786870011,83332932,791674093
[5; 1; 16; 10; 8; 12; 9; 15; 6; 3; 2; 13; 14; 4; 7; 11],16,800438,6011956,73458870,704630560,74259308,710642516,22,642412,4804082,82690520,786870011,83332932,791674093
[5; 11; 2; 1; 8; 14; 15; 4; 12; 10; 13; 9; 3; 16; 7; 6],16,741934,5741676,76734259,736231958,77476193,741973634,22,642412,4804082,82690520,786870011,83332932,791674093
[11; 8; 14; 5; 10; 4; 3; 7; 6; 12; 13; 2; 15; 16; 9; 1],16,779100,5856994,79144302,761001958,79923402,766858952,22,642412,4804082,82690520,786870011,83332932,791674093
[16; 6; 7; 4; 9; 11; 5; 1; 14; 12; 8; 10; 13; 3; 2; 15],18,719182,5395643,76450163,733169773,77169345,738565416,22,642412,4804082,82690520,786870011,83332932,791674093
[14; 12; 11; 16; 10; 2; 9; 6; 15; 1; 13; 7; 5; 8; 3; 4],16,786124,6297726,76757672,736287205,77543796,742584931,22,642412,4804082,82690520,786870011,83332932,791674093
[8; 13; 14; 3; 7; 16; 6; 5; 15; 10; 9; 2; 11; 1; 12; 4],18,754308,5784495,77918657,748379261,78672965,754163756,22,642412,4804082,82690520,786870011,83332932,791674093
[12; 13; 3; 10; 4; 2; 8; 16; 9; 15; 1; 11; 7; 6; 5; 14],16,816022,6356122,77221173,739324571,78037195,745680693,22,642412,4804082,82690520,786870011,83332932,791674093
[16; 11; 7; 5; 3; 15; 10; 4; 1; 9; 2; 14; 12; 8; 13; 6],18,763743,5711291,74719605,714645736,75483348,720357027,22,642412,4804082,82690520,786870011,83332932,791674093
[15; 7; 5; 4; 10; 11; 6; 12; 2; 3; 8; 16; 1; 9; 14; 13],18,797801,6061368,74479258,713231345,75277059,719292713,22,642412,4804082,82690520,786870011,83332932,791674093
[5; 8; 10; 12; 4; 1; 13; 16; 15; 2; 7; 14; 6; 9; 3; 11],18,804829,6273746,77651740,743330003,78456569,749603749,22,642412,4804082,82690520,786870011,83332932,791674093
[6; 1; 12; 16; 7; 4; 8; 10; 13; 3; 2; 11; 5; 9; 15; 14],18,722118,5403372,77807673,744835331,78529791,750238703,22,642412,4804082,82690520,786870011,83332932,791674093
[8; 2; 12; 11; 3; 10; 13; 16; 7; 14; 6; 15; 4; 9; 1; 5],16,762976,5834286,76516736,732444203,77279712,738278489,22,642412,4804082,82690520,786870011,83332932,791674093
[8; 10; 12; 2; 5; 3; 6; 13; 4; 16; 9; 15; 7; 1; 14; 11],18,809823,6392468,78236074,749469116,79045897,755861584,22,642412,4804082,82690520,786870011,83332932,791674093
[10; 14; 1; 2; 12; 9; 5; 15; 16; 11; 13; 4; 3; 8; 7; 6],18,818402,6104016,81069162,773096625,81887564,779200641,22,642412,4804082,82690520,786870011,83332932,791674093
